problem_id,title,difficulty,acceptance_rate_if_available,inferred_family,subfamily,state_shape,recurrence_shape,evaluation_order,transition_cost,likely_time_complexity,likely_space_complexity,top_down_or_bottom_up_preferred,optimization_primitives,representative_or_not,confidence,notes
3165,Maximum Sum of Subsequence With Non-adjacent Elements,Hard,15.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3176,Find the Maximum Length of a Good Subsequence I,Medium,32.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3177,Find the Maximum Length of a Good Subsequence II,Hard,25.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3180,Maximum Total Reward Using Operations I,Medium,30.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3181,Maximum Total Reward Using Operations II,Hard,21.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3183,The Number of Ways to Make the Sum,Medium,51.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3186,Maximum Total Damage With Spell Casting,Medium,45.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3192,Minimum Operations to Make Binary Array Elements Equal to One II,Medium,65.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3193,Count the Number of Inversions,Hard,30.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3196,Maximize Total Cost of Alternating Subarrays,Medium,29.7%,Kadane / Local-Global DP,Local/global subarray DP,local state ending at i + global answer,extend previous subarray or restart / update transformed state,left-to-right,O(1),O(n),O(1),bottom-up scan,track min/max product; prefix extrema,non-representative / later refinement,heuristic-high,Subarray means contiguous; usually local state ending here is the key.
3201,Find the Maximum Length of Valid Subsequence I,Medium,54.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3202,Find the Maximum Length of Valid Subsequence II,Medium,57.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3205,Maximum Array Hopping Score I,Medium,76.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3213,Construct String with Minimum Cost,Hard,19.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3218,Minimum Cost for Cutting Cake I,Medium,58.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3225,Maximum Score From Grid Operations,Hard,64.7%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
3229,Minimum Operations to Make Array Equal to Target,Hard,41.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3241,Time Taken to Mark All Nodes,Hard,28.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3247,Number of Subsequences with Odd Sum,Medium,47.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3250,Find the Count of Monotonic Pairs I,Hard,47.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3251,Find the Count of Monotonic Pairs II,Hard,24.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3256,Maximum Value Sum by Placing Three Rooks I,Hard,16.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3257,Maximum Value Sum by Placing Three Rooks II,Hard,26.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3259,Maximum Energy Boost From Two Drinks,Medium,50.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3260,Find the Largest Palindrome Divisible by K,Hard,17.0%,Palindrome / Substring DP,Palindrome partition/check DP,dp[i] plus palindrome table or dp[l][r],cut at valid palindrome boundary,increasing end index / length,O(n),O(n^2),O(n^2),bottom-up,precompute palindrome table,representative,manual-high,Often composes palindrome table + partition DP.
3269,Constructing Two Increasing Arrays,Hard,62.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3276,Select Cells in Grid With Maximum Score,Hard,15.8%,Grid DP,Row/column path or shape DP,dp[r][c] or dp[step][r][c],combine from neighboring cells / directions,"row-major, reverse, or BFS-like layers",O(neighbor count),O(mn*state),O(n*state) if rolling,bottom-up or memo DFS,rolling rows; prefix sums; direction arrays,non-representative / later refinement,heuristic-high,Grid topology gives natural DAG if moves are acyclic; cyclic movement may require graph shortest path/BFS.
3277,Maximum XOR Score Subarray Queries,Hard,43.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3284,Sum of Consecutive Subarrays,Medium,42.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3287,Find the Maximum Sequence Value of Array,Hard,21.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3290,Maximum Multiplication Score,Medium,41.3%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3291,Minimum Number of Valid Strings to Form Target I,Medium,21.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3292,Minimum Number of Valid Strings to Form Target II,Hard,20.6%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3299,Sum of Consecutive Subsequences,Hard,43.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3302,Find the Lexicographically Smallest Valid Sequence,Medium,21.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3316,Find Maximum Removals From Source String,Medium,39.3%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3317,Find the Number of Possible Ways for an Event,Hard,35.0%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3320,Count The Number of Winning Sequences,Hard,32.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3332,Maximum Points Tourist Can Earn,Medium,47.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3333,Find the Original Typed String II,Hard,45.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3335,Total Characters in String After Transformations I,Medium,45.6%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3336,Find the Number of Subsequences With Equal GCD,Hard,31.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3337,Total Characters in String After Transformations II,Hard,57.9%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3339,Find the Number of K-Even Arrays,Medium,61.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3343,Count Number of Balanced Permutations,Hard,49.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3351,Sum of Good Subsequences,Hard,31.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3352,Count K-Reducible Numbers Less Than N,Hard,28.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3363,Find the Maximum Number of Fruits Collected,Hard,65.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3366,Minimum Array Sum,Medium,31.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3367,Maximize Sum of Weights after Edge Removals,Hard,30.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3376,Minimum Time to Break Locks I,Medium,32.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3388,Count Beautiful Splits in an Array,Medium,18.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3389,Minimum Operations to Make Character Frequencies Equal,Hard,26.4%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3393,Count Paths With the Given XOR Value,Medium,40.6%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3409,Longest Subsequence With Decreasing Adjacent Difference,Medium,16.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3410,Maximize Subarray Sum After Removing All Occurrences of One Element,Hard,23.1%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3414,Maximum Score of Non-overlapping Intervals,Hard,31.5%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3418,Maximum Amount of Money Robot Can Earn,Medium,47.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3428,Maximum and Minimum Sums of at Most Size K Subsequences,Medium,21.8%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3429,Paint House IV,Medium,45.2%,1D Prefix/Suffix DP,Color-state rolling DP,dp[i][color],choose color different from previous; min cost,increasing house index,O(colors^2) or optimized O(colors),O(n*colors),O(colors),bottom-up,track min/second-min for Paint House II,representative,manual-high,State axis is previous/current color.
3434,Maximum Frequency After Subarray Operation,Medium,31.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3441,Minimum Cost Good Caption,Hard,20.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3444,Minimum Increments for Target Multiples in an Array,Hard,27.7%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3448,Count Substrings Divisible By Last Digit,Hard,23.3%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
3458,Select K Disjoint Special Substrings,Medium,19.3%,Tree DP,Postorder tree DP,dfs(node) returns one or more states,combine child states at parent,postorder DFS,O(children states),O(n * state_count^2 typical),O(h) recursion plus state storage,recursive postorder,tuple states; rerooting if all-nodes answers,non-representative / later refinement,heuristic-high,Tree edges define dependency DAG from children to parent or reroot passes.
3459,Length of Longest V-Shaped Diagonal Segment,Hard,56.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3466,Maximum Coin Collection,Medium,53.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3469,Find Minimum Cost to Remove Array Elements,Medium,21.6%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3472,Longest Palindromic Subsequence After at Most K Operations,Medium,37.7%,Palindrome / Subsequence DP,Palindrome subsequence interval DP,dp[l][r],if ends match use inner; else drop one end,increasing interval length,O(1),O(n^2),O(n^2),bottom-up by length,rolling diagonals sometimes,representative,manual-high,Subsequence interval DP; not center expansion.
3473,Sum of K Subarrays With Length at Least M,Medium,26.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3489,Zero Array Transformation IV,Medium,31.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3490,Count Beautiful Numbers,Hard,23.8%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3500,Minimum Cost to Divide Array Into Subarrays,Hard,28.0%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3503,Longest Palindrome After Substring Concatenation I,Medium,43.9%,Palindrome / Substring DP,Palindrome substring center/table DP,dp[l][r] boolean or radius around center,chars match and inner substring valid,increasing length or center expansion,O(1),O(n^2),O(n^2)/O(1),bottom-up or center expansion,center expansion; boolean table,representative,manual-high,Substring means contiguous; do not confuse with subsequence.
3504,Longest Palindrome After Substring Concatenation II,Hard,18.0%,Palindrome / Substring DP,Palindrome substring center/table DP,dp[l][r] boolean or radius around center,chars match and inner substring valid,increasing length or center expansion,O(1),O(n^2),O(n^2)/O(1),bottom-up or center expansion,center expansion; boolean table,representative,manual-high,Substring means contiguous; do not confuse with subsequence.
3505,Minimum Operations to Make Elements Within K Subarrays Equal,Hard,28.2%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3509,Maximum Product of Subsequences With an Alternating Sum Equal to K,Hard,13.2%,Counting Combinatorics DP,Sequence/counting with category state,dp[i][state],append element satisfying category rules,increasing i,varies,varies,varies,bottom-up,compressed automaton states,non-representative / later refinement,heuristic-medium,Need statement to refine.
3519,Count Numbers with Non-Decreasing Digits,Hard,38.8%,Digit DP,Digit tight-state DP,dp[pos][tight][started][extra_state],choose next digit respecting tight bound,left-to-right over digits,O(10 * extra_state),O(num_digits * states * 10),O(states),top-down memo usually,tight flag; leading-zero handling,representative,manual-high,Carefully separate started/leading zeros and tight/non-tight states.
3524,Find X Value of Array I,Medium,37.5%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3530,Maximum Profit from Valid Topological Order in DAG,Hard,30.2%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
3533,Concatenated Divisibility,Hard,30.9%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3534,Path Existence Queries in a Graph II,Hard,26.7%,Misc / Title-Inferred DP,Low-confidence title heuristic,unknown / problem-specific state,problem-specific recurrence,depends on state DAG,varies,unknown from title alone,unknown from title alone,top-down for discovery; bottom-up if regular table,memoization; table compression if possible,non-representative / later refinement,heuristic-low,Classification inferred from title only; refine when expanding family.
3538,Merge Operations for Minimum Travel Time,Hard,31.0%,Bitmask DP,Subset/mask DP,dp[mask][extra],add/remove one element or transition bitmask,increasing mask/popcount,O(n) choices,O(n*2^n) typical,O(2^n),top-down or bottom-up,bit operations; precomputed compatibility,non-representative / later refinement,heuristic-high,Mask is likely from subset constraints or bitwise states.
